"specification","market","london","nearest","any_site","nearest_bathing","any_bathing","n_properties"
"did_trends_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",FALSE,FALSE,5603
"did_trends_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",FALSE,TRUE,202
"did_trends_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",TRUE,TRUE,11363
"did_trends_prior_extensive_salience_groups","sales",FALSE,"inland","coastal",FALSE,FALSE,2
"did_trends_prior_extensive_salience_groups","sales",FALSE,"inland","coastal",TRUE,TRUE,22
"did_trends_prior_extensive_salience_groups","sales",FALSE,"inland","inland",FALSE,FALSE,194548
"did_trends_prior_extensive_salience_groups","sales",FALSE,"inland","inland",FALSE,TRUE,416
"did_trends_prior_extensive_salience_groups","sales",FALSE,"inland","inland",TRUE,TRUE,7613
"did_trends_prior_extensive_salience_groups","sales",TRUE,"inland","inland",FALSE,FALSE,14049
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,FALSE,1064
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,TRUE,32
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",TRUE,TRUE,2159
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"inland","coastal",FALSE,FALSE,2
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",FALSE,FALSE,52424
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",FALSE,TRUE,89
"did_trends_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",TRUE,TRUE,1494
"did_trends_prior_extensive_salience_groups","rentals",TRUE,"inland","inland",FALSE,FALSE,11361
"did_articles_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",FALSE,FALSE,5603
"did_articles_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",FALSE,TRUE,202
"did_articles_prior_extensive_salience_groups","sales",FALSE,"coastal","coastal",TRUE,TRUE,11363
"did_articles_prior_extensive_salience_groups","sales",FALSE,"inland","coastal",FALSE,FALSE,2
"did_articles_prior_extensive_salience_groups","sales",FALSE,"inland","coastal",TRUE,TRUE,22
"did_articles_prior_extensive_salience_groups","sales",FALSE,"inland","inland",FALSE,FALSE,194548
"did_articles_prior_extensive_salience_groups","sales",FALSE,"inland","inland",FALSE,TRUE,416
"did_articles_prior_extensive_salience_groups","sales",FALSE,"inland","inland",TRUE,TRUE,7613
"did_articles_prior_extensive_salience_groups","sales",TRUE,"inland","inland",FALSE,FALSE,14049
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,FALSE,1064
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,TRUE,32
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"coastal","coastal",TRUE,TRUE,2159
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"inland","coastal",FALSE,FALSE,2
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",FALSE,FALSE,52424
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",FALSE,TRUE,89
"did_articles_prior_extensive_salience_groups","rentals",FALSE,"inland","inland",TRUE,TRUE,1494
"did_articles_prior_extensive_salience_groups","rentals",TRUE,"inland","inland",FALSE,FALSE,11361
"did_trends_prior_salience_groups","sales",FALSE,"coastal","coastal",FALSE,FALSE,3351
"did_trends_prior_salience_groups","sales",FALSE,"coastal","coastal",FALSE,TRUE,58
"did_trends_prior_salience_groups","sales",FALSE,"coastal","coastal",TRUE,TRUE,9228
"did_trends_prior_salience_groups","sales",FALSE,"inland","coastal",FALSE,FALSE,2
"did_trends_prior_salience_groups","sales",FALSE,"inland","coastal",TRUE,TRUE,22
"did_trends_prior_salience_groups","sales",FALSE,"inland","inland",FALSE,FALSE,141088
"did_trends_prior_salience_groups","sales",FALSE,"inland","inland",FALSE,TRUE,186
"did_trends_prior_salience_groups","sales",FALSE,"inland","inland",TRUE,TRUE,6183
"did_trends_prior_salience_groups","sales",TRUE,"inland","inland",FALSE,FALSE,6074
"did_trends_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,FALSE,534
"did_trends_prior_salience_groups","rentals",FALSE,"coastal","coastal",FALSE,TRUE,9
"did_trends_prior_salience_groups","rentals",FALSE,"coastal","coastal",TRUE,TRUE,1704
"did_trends_prior_salience_groups","rentals",FALSE,"inland","coastal",FALSE,FALSE,2
"did_trends_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,FALSE,37224
"did_trends_prior_salience_groups","rentals",FALSE,"inland","inland",FALSE,TRUE,34
