"specification","market","london","ever_positive","ever_unknown","positive_2021","unknown_2021","n_properties"
"did_trends_prior_extensive_salience_groups","sales",FALSE,FALSE,FALSE,FALSE,FALSE,1437169
"did_trends_prior_extensive_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,FALSE,62808
"did_trends_prior_extensive_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,TRUE,62991
"did_trends_prior_extensive_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,30790
"did_trends_prior_extensive_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,160945
"did_trends_prior_extensive_salience_groups","sales",FALSE,TRUE,TRUE,FALSE,TRUE,730
"did_trends_prior_extensive_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,1429
"did_trends_prior_extensive_salience_groups","sales",TRUE,FALSE,FALSE,FALSE,FALSE,98295
"did_trends_prior_extensive_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,FALSE,5836
"did_trends_prior_extensive_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,TRUE,96697
"did_trends_prior_extensive_salience_groups","rentals",FALSE,FALSE,FALSE,FALSE,FALSE,324252
"did_trends_prior_extensive_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,FALSE,13632
"did_trends_prior_extensive_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,TRUE,21862
"did_trends_prior_extensive_salience_groups","rentals",FALSE,TRUE,FALSE,FALSE,FALSE,5914
"did_trends_prior_extensive_salience_groups","rentals",FALSE,TRUE,FALSE,TRUE,FALSE,35986
"did_trends_prior_extensive_salience_groups","rentals",FALSE,TRUE,TRUE,FALSE,TRUE,140
"did_trends_prior_extensive_salience_groups","rentals",FALSE,TRUE,TRUE,TRUE,FALSE,169
"did_trends_prior_extensive_salience_groups","rentals",TRUE,FALSE,FALSE,FALSE,FALSE,83566
"did_trends_prior_extensive_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,FALSE,4636
"did_trends_prior_extensive_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,TRUE,59161
"did_articles_prior_extensive_salience_groups","sales",FALSE,FALSE,FALSE,FALSE,FALSE,1437169
"did_articles_prior_extensive_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,FALSE,62808
"did_articles_prior_extensive_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,TRUE,62991
"did_articles_prior_extensive_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,30790
"did_articles_prior_extensive_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,160945
"did_articles_prior_extensive_salience_groups","sales",FALSE,TRUE,TRUE,FALSE,TRUE,730
"did_articles_prior_extensive_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,1429
"did_articles_prior_extensive_salience_groups","sales",TRUE,FALSE,FALSE,FALSE,FALSE,98295
"did_articles_prior_extensive_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,FALSE,5836
"did_articles_prior_extensive_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,TRUE,96697
"did_articles_prior_extensive_salience_groups","rentals",FALSE,FALSE,FALSE,FALSE,FALSE,324252
"did_articles_prior_extensive_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,FALSE,13632
"did_articles_prior_extensive_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,TRUE,21862
"did_articles_prior_extensive_salience_groups","rentals",FALSE,TRUE,FALSE,FALSE,FALSE,5914
"did_articles_prior_extensive_salience_groups","rentals",FALSE,TRUE,FALSE,TRUE,FALSE,35986
"did_articles_prior_extensive_salience_groups","rentals",FALSE,TRUE,TRUE,FALSE,TRUE,140
"did_articles_prior_extensive_salience_groups","rentals",FALSE,TRUE,TRUE,TRUE,FALSE,169
"did_articles_prior_extensive_salience_groups","rentals",TRUE,FALSE,FALSE,FALSE,FALSE,83566
"did_articles_prior_extensive_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,FALSE,4636
"did_articles_prior_extensive_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,TRUE,59161
"did_trends_prior_salience_groups","sales",FALSE,FALSE,FALSE,FALSE,FALSE,143330
"did_trends_prior_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,FALSE,1111
"did_trends_prior_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,2623
"did_trends_prior_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,13024
"did_trends_prior_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,30
"did_trends_prior_salience_groups","sales",TRUE,FALSE,FALSE,FALSE,FALSE,5952
"did_trends_prior_salience_groups","sales",TRUE,FALSE,TRUE,FALSE,FALSE,122
"did_trends_prior_salience_groups","rentals",FALSE,FALSE,FALSE,FALSE,FALSE,37467
"did_trends_prior_salience_groups","rentals",FALSE,FALSE,TRUE,FALSE,FALSE,293
"did_trends_prior_salience_groups","rentals",FALSE,TRUE,FALSE,FALSE,FALSE,465
"did_trends_prior_salience_groups","rentals",FALSE,TRUE,FALSE,TRUE,FALSE,2355
"did_trends_prior_salience_groups","rentals",FALSE,TRUE,TRUE,TRUE,FALSE,6
"did_trends_prior_salience_groups","rentals",TRUE,FALSE,FALSE,FALSE,FALSE,5743
"did_trends_prior_salience_groups","rentals",TRUE,FALSE,TRUE,FALSE,FALSE,95
"did_articles_prior_salience_groups","sales",FALSE,FALSE,FALSE,FALSE,FALSE,143330
"did_articles_prior_salience_groups","sales",FALSE,FALSE,TRUE,FALSE,FALSE,1111
"did_articles_prior_salience_groups","sales",FALSE,TRUE,FALSE,FALSE,FALSE,2623
"did_articles_prior_salience_groups","sales",FALSE,TRUE,FALSE,TRUE,FALSE,13024
"did_articles_prior_salience_groups","sales",FALSE,TRUE,TRUE,TRUE,FALSE,30
