"variant","specification","market","group","n_input","n_before_london_drop","n_after_london_drop","n_estimation","n_outside_all_groups","n_near","n_far","n_near_pre","n_near_post","n_far_pre","n_far_post","fit_status","reason","nobs","n_removed_by_estimator"
"headline","did_trends_prior_extensive_salience_groups","sales","bathing",1957690,193894,193894,193894,0,66730,127164,30695,36035,58179,68985,"available",NA,193843,51
"headline","did_trends_prior_extensive_salience_groups","sales","coastal",1957690,156321,156321,156321,0,59621,96700,27572,32049,44421,52279,"available",NA,156294,27
"headline","did_trends_prior_extensive_salience_groups","sales","inland",1957690,1801369,1600541,1801369,0,709933,1091436,320546,389387,493519,597917,"available",NA,1801122,247
"headline","did_trends_prior_extensive_salience_groups","rentals","bathing",549318,42209,42209,42209,0,13354,28855,6091,7263,13335,15520,"available",NA,41966,243
"headline","did_trends_prior_extensive_salience_groups","rentals","coastal",549318,33409,33409,33409,0,11916,21493,5301,6615,9784,11709,"available",NA,33248,161
"headline","did_trends_prior_extensive_salience_groups","rentals","inland",549318,515909,368546,515909,0,202660,313249,100249,102411,158673,154576,"available",NA,514295,1614
"headline","did_articles_prior_extensive_salience_groups","sales","bathing",1957690,193894,193894,193894,0,66730,127164,NA,NA,NA,NA,"available",NA,193843,51
"headline","did_articles_prior_extensive_salience_groups","sales","coastal",1957690,156321,156321,156321,0,59621,96700,NA,NA,NA,NA,"available",NA,156294,27
"headline","did_articles_prior_extensive_salience_groups","sales","inland",1957690,1801369,1600541,1801369,0,709933,1091436,NA,NA,NA,NA,"available",NA,1801122,247
"headline","did_articles_prior_extensive_salience_groups","rentals","bathing",549318,42209,42209,42209,0,13354,28855,NA,NA,NA,NA,"available",NA,41966,243
"headline","did_articles_prior_extensive_salience_groups","rentals","coastal",549318,33409,33409,33409,0,11916,21493,NA,NA,NA,NA,"available",NA,33248,161
"headline","did_articles_prior_extensive_salience_groups","rentals","inland",549318,515909,368546,515909,0,202660,313249,NA,NA,NA,NA,"available",NA,514295,1614
"headline","did_trends_prior_salience_groups","sales","bathing",166192,15677,15677,15677,0,NA,NA,NA,NA,NA,NA,"available",NA,15630,47
"headline","did_trends_prior_salience_groups","sales","coastal",166192,12661,12661,12661,0,NA,NA,NA,NA,NA,NA,"available",NA,12624,37
"headline","did_trends_prior_salience_groups","sales","inland",166192,153531,147457,153531,0,NA,NA,NA,NA,NA,NA,"available",NA,153091,440
"headline","did_trends_prior_salience_groups","rentals","bathing",46424,2826,2826,2826,0,NA,NA,NA,NA,NA,NA,"available",NA,2715,111
"headline","did_trends_prior_salience_groups","rentals","coastal",46424,2249,2249,2249,0,NA,NA,NA,NA,NA,NA,"available",NA,2168,81
"headline","did_trends_prior_salience_groups","rentals","inland",46424,44175,38337,44175,0,NA,NA,NA,NA,NA,NA,"available",NA,43228,947
"headline","did_articles_prior_salience_groups","sales","bathing",166192,15677,15677,15677,0,NA,NA,NA,NA,NA,NA,"available",NA,15630,47
"headline","did_articles_prior_salience_groups","sales","coastal",166192,12661,12661,12661,0,NA,NA,NA,NA,NA,NA,"available",NA,12624,37
"headline","did_articles_prior_salience_groups","sales","inland",166192,153531,147457,153531,0,NA,NA,NA,NA,NA,NA,"available",NA,153091,440
"headline","did_articles_prior_salience_groups","rentals","bathing",46424,2826,2826,2826,0,NA,NA,NA,NA,NA,NA,"available",NA,2715,111
"headline","did_articles_prior_salience_groups","rentals","coastal",46424,2249,2249,2249,0,NA,NA,NA,NA,NA,NA,"available",NA,2168,81
"headline","did_articles_prior_salience_groups","rentals","inland",46424,44175,38337,44175,0,NA,NA,NA,NA,NA,NA,"available",NA,43228,947
"headline","hedonic_count_continuous_prior_salience_groups","sales","bathing",166192,15433,15433,15433,0,NA,NA,NA,NA,NA,NA,"available",NA,15384,49
"headline","hedonic_count_continuous_prior_salience_groups","sales","coastal",166192,12637,12637,12637,0,NA,NA,NA,NA,NA,NA,"available",NA,12600,37
"headline","hedonic_count_continuous_prior_salience_groups","sales","inland",166192,153555,147481,153555,0,NA,NA,NA,NA,NA,NA,"available",NA,153115,440
"headline","hedonic_count_continuous_prior_salience_groups","rentals","bathing",46424,2783,2783,2783,0,NA,NA,NA,NA,NA,NA,"available",NA,2674,109
"headline","hedonic_count_continuous_prior_salience_groups","rentals","coastal",46424,2247,2247,2247,0,NA,NA,NA,NA,NA,NA,"available",NA,2166,81
"headline","hedonic_count_continuous_prior_salience_groups","rentals","inland",46424,44177,38339,44177,0,NA,NA,NA,NA,NA,NA,"available",NA,43230,947
"london_excluded","did_trends_prior_extensive_salience_groups","sales","bathing",1957690,193894,193894,193894,0,66730,127164,30695,36035,58179,68985,"available",NA,193843,51
"london_excluded","did_trends_prior_extensive_salience_groups","sales","coastal",1957690,156321,156321,156321,0,59621,96700,27572,32049,44421,52279,"available",NA,156294,27
"london_excluded","did_trends_prior_extensive_salience_groups","sales","inland",1957690,1801369,1600541,1600541,0,658195,942346,297989,360206,425994,516352,"available",NA,1600327,214
"london_excluded","did_trends_prior_extensive_salience_groups","rentals","bathing",549318,42209,42209,42209,0,13354,28855,6091,7263,13335,15520,"available",NA,41966,243
"london_excluded","did_trends_prior_extensive_salience_groups","rentals","coastal",549318,33409,33409,33409,0,11916,21493,5301,6615,9784,11709,"available",NA,33248,161
"london_excluded","did_trends_prior_extensive_salience_groups","rentals","inland",549318,515909,368546,368546,0,162461,206085,78723,83738,99377,106708,"available",NA,367021,1525
"london_excluded","did_articles_prior_extensive_salience_groups","sales","bathing",1957690,193894,193894,193894,0,66730,127164,NA,NA,NA,NA,"available",NA,193843,51
"london_excluded","did_articles_prior_extensive_salience_groups","sales","coastal",1957690,156321,156321,156321,0,59621,96700,NA,NA,NA,NA,"available",NA,156294,27
"london_excluded","did_articles_prior_extensive_salience_groups","sales","inland",1957690,1801369,1600541,1600541,0,658195,942346,NA,NA,NA,NA,"available",NA,1600327,214
