"specification","market","assignment","london","legacy","refined","bathing","incomplete_evidence","n_properties"
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","coastal",FALSE,FALSE,38027
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","coastal",TRUE,FALSE,118003
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","inland",FALSE,FALSE,203831
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","inland",TRUE,FALSE,45453
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","coastal",TRUE,FALSE,291
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","inland",FALSE,FALSE,1321110
"did_trends_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","inland",TRUE,FALSE,30147
"did_trends_prior_extensive_salience_groups","sales","nearest",TRUE,"coastal","inland",FALSE,FALSE,82871
"did_trends_prior_extensive_salience_groups","sales","nearest",TRUE,"inland","inland",FALSE,FALSE,117957
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","coastal",FALSE,FALSE,6166
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","coastal",TRUE,FALSE,27229
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","inland",FALSE,FALSE,53044
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","inland",TRUE,FALSE,10675
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","coastal",TRUE,FALSE,14
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","inland",FALSE,FALSE,300536
"did_trends_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","inland",TRUE,FALSE,4291
"did_trends_prior_extensive_salience_groups","rentals","nearest",TRUE,"coastal","inland",FALSE,FALSE,79723
"did_trends_prior_extensive_salience_groups","rentals","nearest",TRUE,"inland","inland",FALSE,FALSE,67640
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","coastal",FALSE,FALSE,38027
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","coastal",TRUE,FALSE,118003
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","inland",FALSE,FALSE,203831
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"coastal","inland",TRUE,FALSE,45453
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","coastal",TRUE,FALSE,291
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","inland",FALSE,FALSE,1321110
"did_articles_prior_extensive_salience_groups","sales","nearest",FALSE,"inland","inland",TRUE,FALSE,30147
"did_articles_prior_extensive_salience_groups","sales","nearest",TRUE,"coastal","inland",FALSE,FALSE,82871
"did_articles_prior_extensive_salience_groups","sales","nearest",TRUE,"inland","inland",FALSE,FALSE,117957
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","coastal",FALSE,FALSE,6166
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","coastal",TRUE,FALSE,27229
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","inland",FALSE,FALSE,53044
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"coastal","inland",TRUE,FALSE,10675
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","coastal",TRUE,FALSE,14
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","inland",FALSE,FALSE,300536
"did_articles_prior_extensive_salience_groups","rentals","nearest",FALSE,"inland","inland",TRUE,FALSE,4291
"did_articles_prior_extensive_salience_groups","rentals","nearest",TRUE,"coastal","inland",FALSE,FALSE,79723
"did_articles_prior_extensive_salience_groups","rentals","nearest",TRUE,"inland","inland",FALSE,FALSE,67640
"did_trends_prior_salience_groups","sales","radius",FALSE,"coastal","coastal",FALSE,FALSE,3353
"did_trends_prior_salience_groups","sales","radius",FALSE,"coastal","coastal",TRUE,FALSE,9308
"did_trends_prior_salience_groups","sales","radius",FALSE,"coastal","inland",FALSE,FALSE,17880
"did_trends_prior_salience_groups","sales","radius",FALSE,"coastal","inland",TRUE,FALSE,4002
"did_trends_prior_salience_groups","sales","radius",FALSE,"inland","inland",FALSE,FALSE,123208
"did_trends_prior_salience_groups","sales","radius",FALSE,"inland","inland",TRUE,FALSE,2367
"did_trends_prior_salience_groups","sales","radius",TRUE,"coastal","inland",FALSE,FALSE,3911
"did_trends_prior_salience_groups","sales","radius",TRUE,"inland","inland",FALSE,FALSE,2163
"did_trends_prior_salience_groups","rentals","radius",FALSE,"coastal","coastal",FALSE,FALSE,536
"did_trends_prior_salience_groups","rentals","radius",FALSE,"coastal","coastal",TRUE,FALSE,1713
"did_trends_prior_salience_groups","rentals","radius",FALSE,"coastal","inland",FALSE,FALSE,5752
"did_trends_prior_salience_groups","rentals","radius",FALSE,"coastal","inland",TRUE,FALSE,823
"did_trends_prior_salience_groups","rentals","radius",FALSE,"inland","inland",FALSE,FALSE,31472
"did_trends_prior_salience_groups","rentals","radius",FALSE,"inland","inland",TRUE,FALSE,290
"did_trends_prior_salience_groups","rentals","radius",TRUE,"coastal","inland",FALSE,FALSE,4659
"did_trends_prior_salience_groups","rentals","radius",TRUE,"inland","inland",FALSE,FALSE,1179
"did_articles_prior_salience_groups","sales","radius",FALSE,"coastal","coastal",FALSE,FALSE,3353
"did_articles_prior_salience_groups","sales","radius",FALSE,"coastal","coastal",TRUE,FALSE,9308
"did_articles_prior_salience_groups","sales","radius",FALSE,"coastal","inland",FALSE,FALSE,17880
"did_articles_prior_salience_groups","sales","radius",FALSE,"coastal","inland",TRUE,FALSE,4002
"did_articles_prior_salience_groups","sales","radius",FALSE,"inland","inland",FALSE,FALSE,123208
"did_articles_prior_salience_groups","sales","radius",FALSE,"inland","inland",TRUE,FALSE,2367
"did_articles_prior_salience_groups","sales","radius",TRUE,"coastal","inland",FALSE,FALSE,3911
"did_articles_prior_salience_groups","sales","radius",TRUE,"inland","inland",FALSE,FALSE,2163
"did_articles_prior_salience_groups","rentals","radius",FALSE,"coastal","coastal",FALSE,FALSE,536
"did_articles_prior_salience_groups","rentals","radius",FALSE,"coastal","coastal",TRUE,FALSE,1713
"did_articles_prior_salience_groups","rentals","radius",FALSE,"coastal","inland",FALSE,FALSE,5752
"did_articles_prior_salience_groups","rentals","radius",FALSE,"coastal","inland",TRUE,FALSE,823
"did_articles_prior_salience_groups","rentals","radius",FALSE,"inland","inland",FALSE,FALSE,31472
"did_articles_prior_salience_groups","rentals","radius",FALSE,"inland","inland",TRUE,FALSE,290
"did_articles_prior_salience_groups","rentals","radius",TRUE,"coastal","inland",FALSE,FALSE,4659
"did_articles_prior_salience_groups","rentals","radius",TRUE,"inland","inland",FALSE,FALSE,1179
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"coastal","coastal",FALSE,FALSE,3409
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"coastal","coastal",TRUE,FALSE,9228
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"coastal","inland",FALSE,FALSE,17955
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"coastal","inland",TRUE,FALSE,3905
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"inland","inland",FALSE,FALSE,123321
"hedonic_count_continuous_prior_salience_groups","sales","nearest",FALSE,"inland","inland",TRUE,FALSE,2300
"hedonic_count_continuous_prior_salience_groups","sales","nearest",TRUE,"coastal","inland",FALSE,FALSE,3911
"hedonic_count_continuous_prior_salience_groups","sales","nearest",TRUE,"inland","inland",FALSE,FALSE,2163
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"coastal","coastal",FALSE,FALSE,543
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"coastal","coastal",TRUE,FALSE,1704
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"coastal","inland",FALSE,FALSE,5773
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"coastal","inland",TRUE,FALSE,801
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"inland","inland",FALSE,FALSE,31487
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",FALSE,"inland","inland",TRUE,FALSE,278
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",TRUE,"coastal","inland",FALSE,FALSE,4659
"hedonic_count_continuous_prior_salience_groups","rentals","nearest",TRUE,"inland","inland",FALSE,FALSE,1179
