"variant","specification","term","estimate","std_error","conf_low","conf_high","p_value","nobs","market","group","fit_status","reason"
"headline","did_trends_prior_extensive_salience_groups","near_bin",0.0530662892235668,0.0291481687160172,-0.00408836507647849,0.110220943523612,0.068781437998824,193843,"sales","bathing","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",-0.00938162095315532,0.00870715525650342,-0.0264548873209601,0.00769164541464946,0.281369350372851,193843,"sales","bathing","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin",0.0766249721567644,0.0314680329451474,0.0149124134995411,0.138337530813988,0.014975942935229,156294,"sales","coastal","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",-0.0151392240009397,0.0105425851999849,-0.0358144885999991,0.00553604059811961,0.151152607539265,156294,"sales","coastal","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin",-0.0727312106386106,0.00632909310169853,-0.0851365973181048,-0.0603258239591165,1.73075866483798e-30,1801122,"sales","inland","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",0.00308180799273456,0.00223552904878432,-0.00129995758375359,0.00746357356922271,0.168043022957103,1801122,"sales","inland","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin",-0.0117473157889146,0.0172976000246537,-0.045668917909922,0.0221742863320928,0.497128077025337,41966,"rentals","bathing","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",-0.000956385088980222,0.00507475659533648,-0.0109082786373691,0.00899550845940863,0.850534245835686,41966,"rentals","bathing","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin",0.0287231037719312,0.0279902391851377,-0.0261771266106987,0.083623334154561,0.304956176596458,33248,"rentals","coastal","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",-0.00276155775168861,0.00543553857663488,-0.0134228571474214,0.00789974164404423,0.61148217729678,33248,"rentals","coastal","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin",-0.0139148856698002,0.00545879091073411,-0.0246145049282432,-0.00321526641135717,0.0108074968523392,514295,"rentals","inland","available",NA
"headline","did_trends_prior_extensive_salience_groups","near_bin:post",-0.00712668847681287,0.00194567033572663,-0.0109403410118066,-0.00331303594181913,0.000250011671764782,514295,"rentals","inland","available",NA
