"specification","market","comparison","group","stage","baseline","baseline_n","variant_n","retained","left","entered"
"did_trends_prior_extensive_salience_groups","sales","london_excluded","bathing","selected","headline",193894,193894,193894,0,0
"did_trends_prior_extensive_salience_groups","sales","london_excluded","bathing","fitted","headline",193843,193843,193843,0,0
"did_trends_prior_extensive_salience_groups","sales","london_excluded","coastal","selected","headline",156321,156321,156321,0,0
"did_trends_prior_extensive_salience_groups","sales","london_excluded","coastal","fitted","headline",156294,156294,156294,0,0
"did_trends_prior_extensive_salience_groups","sales","london_excluded","inland","selected","headline",1801369,1600541,1600541,200828,0
"did_trends_prior_extensive_salience_groups","sales","london_excluded","inland","fitted","headline",1801122,1600327,1600327,200795,0
"did_trends_prior_extensive_salience_groups","sales","bathing_2021","bathing","selected","headline",193894,162374,162374,31520,0
"did_trends_prior_extensive_salience_groups","sales","bathing_2021","bathing","fitted","headline",193843,162336,162336,31507,0
"did_trends_prior_extensive_salience_groups","sales","coast_definition","bathing","selected","legacy_london_excluded",193894,193894,193894,0,0
"did_trends_prior_extensive_salience_groups","sales","coast_definition","bathing","fitted","legacy_london_excluded",193843,193843,193843,0,0
"did_trends_prior_extensive_salience_groups","sales","coast_definition","coastal","selected","legacy_london_excluded",405314,156321,156030,249284,291
"did_trends_prior_extensive_salience_groups","sales","coast_definition","coastal","fitted","legacy_london_excluded",405237,156294,156003,249234,291
"did_trends_prior_extensive_salience_groups","sales","coast_definition","inland","selected","legacy_london_excluded",1351548,1600541,1351257,291,249284
"did_trends_prior_extensive_salience_groups","sales","coast_definition","inland","fitted","legacy_london_excluded",1351330,1600327,1351039,291,249288
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","bathing","selected","headline",42209,42209,42209,0,0
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","bathing","fitted","headline",41966,41966,41966,0,0
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","coastal","selected","headline",33409,33409,33409,0,0
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","coastal","fitted","headline",33248,33248,33248,0,0
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","inland","selected","headline",515909,368546,368546,147363,0
"did_trends_prior_extensive_salience_groups","rentals","london_excluded","inland","fitted","headline",514295,367021,367021,147274,0
"did_trends_prior_extensive_salience_groups","rentals","bathing_2021","bathing","selected","headline",42209,36155,36155,6054,0
"did_trends_prior_extensive_salience_groups","rentals","bathing_2021","bathing","fitted","headline",41966,35950,35950,6016,0
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","bathing","selected","legacy_london_excluded",42209,42209,42209,0,0
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","bathing","fitted","legacy_london_excluded",41966,41966,41966,0,0
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","coastal","selected","legacy_london_excluded",97114,33409,33395,63719,14
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","coastal","fitted","legacy_london_excluded",96700,33248,33234,63466,14
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","inland","selected","legacy_london_excluded",304841,368546,304827,14,63719
"did_trends_prior_extensive_salience_groups","rentals","coast_definition","inland","fitted","legacy_london_excluded",303478,367021,303465,13,63556
"did_articles_prior_extensive_salience_groups","sales","london_excluded","bathing","selected","headline",193894,193894,193894,0,0
"did_articles_prior_extensive_salience_groups","sales","london_excluded","bathing","fitted","headline",193843,193843,193843,0,0
"did_articles_prior_extensive_salience_groups","sales","london_excluded","coastal","selected","headline",156321,156321,156321,0,0
"did_articles_prior_extensive_salience_groups","sales","london_excluded","coastal","fitted","headline",156294,156294,156294,0,0
"did_articles_prior_extensive_salience_groups","sales","london_excluded","inland","selected","headline",1801369,1600541,1600541,200828,0
"did_articles_prior_extensive_salience_groups","sales","london_excluded","inland","fitted","headline",1801122,1600327,1600327,200795,0
"did_articles_prior_extensive_salience_groups","sales","bathing_2021","bathing","selected","headline",193894,162374,162374,31520,0
"did_articles_prior_extensive_salience_groups","sales","bathing_2021","bathing","fitted","headline",193843,162336,162336,31507,0
"did_articles_prior_extensive_salience_groups","sales","coast_definition","bathing","selected","legacy_london_excluded",193894,193894,193894,0,0
"did_articles_prior_extensive_salience_groups","sales","coast_definition","bathing","fitted","legacy_london_excluded",193843,193843,193843,0,0
"did_articles_prior_extensive_salience_groups","sales","coast_definition","coastal","selected","legacy_london_excluded",405314,156321,156030,249284,291
"did_articles_prior_extensive_salience_groups","sales","coast_definition","coastal","fitted","legacy_london_excluded",405237,156294,156003,249234,291
"did_articles_prior_extensive_salience_groups","sales","coast_definition","inland","selected","legacy_london_excluded",1351548,1600541,1351257,291,249284
"did_articles_prior_extensive_salience_groups","sales","coast_definition","inland","fitted","legacy_london_excluded",1351330,1600327,1351039,291,249288
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","bathing","selected","headline",42209,42209,42209,0,0
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","bathing","fitted","headline",41966,41966,41966,0,0
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","coastal","selected","headline",33409,33409,33409,0,0
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","coastal","fitted","headline",33248,33248,33248,0,0
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","inland","selected","headline",515909,368546,368546,147363,0
"did_articles_prior_extensive_salience_groups","rentals","london_excluded","inland","fitted","headline",514295,367021,367021,147274,0
"did_articles_prior_extensive_salience_groups","rentals","bathing_2021","bathing","selected","headline",42209,36155,36155,6054,0
"did_articles_prior_extensive_salience_groups","rentals","bathing_2021","bathing","fitted","headline",41966,35950,35950,6016,0
