sample,transaction_period,n_bathing_final_fitted,n_first_positive_2024_only_final_fitted,affected_share
did_articles_prior_extensive_salience_groups,2021_2023,151012,11240,0.07443117103276561
did_articles_prior_extensive_salience_groups,2024,42831,3195,0.07459550325698676
did_articles_prior_salience_groups,2021_2023,12209,1190,0.09746908018674748
did_articles_prior_salience_groups,2024,3421,323,0.0944168371821105
did_trends_prior_extensive_salience_groups,2021_2023,151012,11240,0.07443117103276561
did_trends_prior_extensive_salience_groups,2024,42831,3195,0.07459550325698676
did_trends_prior_salience_groups,2021_2023,12209,1190,0.09746908018674748
did_trends_prior_salience_groups,2024,3421,323,0.0944168371821105
hedonic_count_continuous_prior_salience_groups,2021_2023,12029,1190,0.09892759165350404
hedonic_count_continuous_prior_salience_groups,2024,3355,323,0.09627421758569299
